iter	Passed	Remaining
0	139	139234
1	141	70411
2	142	47421
3	144	35964
4	145	29052
5	147	24435
6	149	21171
7	150	18702
8	152	16762
9	153	15205
10	155	13942
11	156	12896
12	157	11992
13	159	11212
14	160	10538
15	161	9940
16	162	9404
17	163	8927
18	164	8501
19	165	8115
20	166	7765
21	167	7443
22	168	7148
23	169	6877
24	169	6628
25	170	6394
26	171	6175
27	172	5971
28	172	5782
29	173	5605
30	174	5439
31	174	5281
32	175	5132
33	175	4991
34	176	4858
35	176	4733
36	177	4615
37	177	4502
38	178	4395
39	178	4293
40	179	4196
41	179	4104
42	180	4016
43	180	3931
44	181	3851
45	181	3773
46	182	3700
47	182	3629
48	183	3561
49	184	3496
50	184	3433
51	185	3373
52	185	3315
53	186	3259
54	186	3205
55	187	3153
56	187	3103
57	188	3055
58	188	3008
59	189	2963
60	189	2919
61	190	2876
62	190	2835
63	191	2795
64	191	2756
65	192	2718
66	192	2682
67	192	2643
68	193	2609
69	193	2575
70	194	2543
71	194	2511
72	195	2480
73	195	2450
74	196	2421
75	196	2392
76	197	2364
77	197	2338
78	198	2312
79	198	2287
80	199	2262
81	199	2239
82	200	2215
83	201	2193
84	201	2169
85	202	2147
86	202	2124
87	203	2104
88	203	2084
89	204	2064
90	204	2045
91	205	2027
92	206	2009
93	206	1991
94	207	1974
95	207	1957
96	208	1940
97	209	1924
98	209	1908
99	210	1892
100	210	1877
101	211	1859
102	211	1844
103	212	1830
104	213	1815
105	213	1801
106	214	1788
107	214	1774
108	215	1761
109	216	1748
110	216	1735
111	217	1723
112	217	1710
113	218	1698
114	219	1686
115	219	1673
116	220	1662
117	220	1651
118	221	1639
119	222	1628
120	222	1617
121	223	1607
122	223	1595
123	224	1584
124	224	1574
125	225	1564
126	226	1555
127	226	1544
128	227	1534
129	228	1525
130	228	1516
131	229	1507
132	229	1498
133	230	1489
134	231	1481
135	231	1472
136	232	1464
137	232	1454
138	233	1446
139	234	1438
140	234	1430
141	235	1423
142	236	1415
143	236	1407
144	237	1400
145	238	1392
146	238	1385
147	239	1378
148	239	1370
149	240	1363
150	241	1356
151	241	1349
152	242	1342
153	243	1335
154	243	1329
155	244	1322
156	245	1315
157	245	1309
158	246	1302
159	247	1296
160	247	1290
161	248	1284
162	248	1278
163	249	1272
164	250	1266
165	250	1260
166	251	1254
167	252	1248
168	252	1242
169	253	1236
170	253	1231
171	254	1225
172	255	1220
173	255	1214
174	256	1209
175	257	1203
176	257	1198
177	258	1193
178	259	1188
179	259	1182
180	259	1176
181	260	1171
182	261	1166
183	261	1161
184	262	1156
185	263	1151
186	263	1146
187	264	1142
188	265	1137
189	265	1132
190	266	1127
191	266	1123
192	267	1118
193	268	1114
194	268	1109
195	269	1105
196	270	1100
197	270	1096
198	271	1092
199	271	1087
200	272	1083
201	273	1079
202	273	1075
203	274	1070
204	275	1068
205	276	1065
206	277	1061
207	277	1057
208	278	1053
209	279	1049
210	279	1045
211	280	1042
212	280	1038
213	281	1034
214	282	1030
215	282	1027
216	283	1023
217	284	1019
218	284	1016
219	285	1012
220	286	1008
221	286	1004
222	287	1001
223	287	997
224	288	993
225	289	990
226	289	986
227	290	983
228	291	979
229	291	976
230	292	973
231	293	969
232	293	966
233	294	963
234	295	960
235	295	957
236	296	954
237	297	951
238	297	948
239	298	945
240	299	942
241	299	938
242	300	935
243	301	932
244	301	929
245	302	926
246	302	923
247	303	920
248	304	917
249	304	914
250	305	911
251	306	908
252	306	905
253	307	902
254	307	899
255	308	896
256	309	893
257	309	891
258	310	888
259	311	885
260	311	882
261	312	879
262	312	876
263	313	874
264	314	871
265	314	868
266	315	866
267	316	863
268	316	860
269	317	858
270	317	855
271	318	852
272	319	850
273	319	847
274	320	844
275	321	842
276	321	839
277	322	837
278	323	834
279	323	832
280	324	829
281	324	827
282	325	825
283	326	822
284	326	820
285	327	817
286	328	815
287	328	812
288	329	810
289	330	807
290	330	805
291	331	803
292	331	800
293	332	798
294	333	796
295	333	794
296	334	791
297	335	789
298	335	787
299	336	785
300	337	782
301	337	780
302	338	778
303	338	776
304	339	773
305	340	771
306	340	769
307	341	767
308	342	765
309	342	762
310	343	760
311	344	758
312	344	756
313	345	754
314	345	752
315	346	750
316	347	748
317	347	746
318	348	744
319	349	742
320	349	740
321	350	738
322	351	735
323	351	733
324	352	731
325	353	729
326	353	727
327	354	725
328	354	723
329	355	721
330	356	719
331	356	717
332	357	715
333	358	714
334	358	712
335	359	710
336	360	708
337	360	706
338	361	704
339	362	703
340	362	701
341	363	699
342	364	697
343	364	695
344	365	693
345	365	691
346	366	689
347	367	687
348	367	686
349	368	684
350	368	682
351	369	680
352	370	678
353	370	676
354	371	674
355	372	672
356	372	671
357	373	669
358	373	667
359	374	665
360	375	664
361	375	662
362	376	660
363	377	658
364	377	657
365	378	655
366	378	653
367	379	651
368	380	650
369	380	648
370	381	646
371	382	645
372	382	643
373	383	642
374	384	640
375	384	638
376	385	637
377	386	635
378	386	633
379	387	632
380	388	630
381	388	628
382	389	627
383	390	625
384	390	624
385	391	622
386	392	621
387	392	619
388	393	617
389	393	616
390	394	614
391	395	612
392	395	611
393	396	609
394	396	608
395	397	606
396	398	604
397	398	603
398	399	601
399	400	600
400	400	598
401	401	597
402	402	595
403	402	594
404	403	592
405	404	591
406	404	589
407	405	588
408	406	586
409	406	585
410	407	583
411	407	582
412	408	580
413	409	579
414	409	577
415	410	576
416	411	574
417	411	573
418	412	571
419	413	570
420	413	569
421	414	567
422	414	566
423	415	564
424	416	563
425	416	561
426	417	560
427	418	558
428	418	557
429	419	555
430	420	554
431	420	553
432	421	551
433	422	550
434	422	549
435	423	548
436	424	546
437	425	545
438	425	543
439	426	542
440	427	541
441	427	539
442	428	538
443	428	537
444	429	535
445	430	534
446	430	533
447	431	531
448	432	530
449	432	529
450	433	527
451	434	526
452	434	525
453	435	523
454	436	522
455	436	521
456	437	519
457	438	518
458	438	517
459	439	515
460	440	514
461	440	513
462	441	512
463	442	510
464	442	509
465	443	508
466	444	506
467	444	505
468	445	504
469	446	503
470	446	501
471	447	500
472	448	499
473	448	498
474	449	496
475	450	495
476	450	494
477	451	493
478	452	491
479	452	490
480	453	489
481	454	488
482	454	486
483	455	485
484	456	484
485	456	483
486	457	481
487	457	480
488	458	479
489	459	478
490	459	476
491	460	475
492	461	474
493	462	473
494	462	472
495	463	470
496	463	469
497	464	468
498	465	467
499	465	465
500	466	464
501	467	463
502	467	462
503	468	461
504	469	459
505	469	458
506	470	457
507	471	456
508	471	455
509	472	453
510	473	452
511	473	451
512	474	450
513	475	449
514	475	448
515	476	446
516	477	445
517	477	444
518	478	443
519	478	442
520	479	440
521	480	439
522	481	438
523	481	437
524	482	436
525	482	435
526	483	434
527	484	432
528	484	431
529	485	430
530	486	429
531	486	428
532	487	427
533	488	426
534	488	424
535	489	423
536	490	422
537	491	421
538	491	420
539	492	419
540	492	418
541	493	417
542	494	415
543	494	414
544	495	413
545	495	412
546	496	411
547	497	410
548	497	409
549	498	407
550	499	406
551	499	405
552	500	404
