iter	Passed	Remaining
0	0	985
1	1	888
2	2	833
3	3	809
4	3	791
5	4	775
6	5	767
7	6	764
8	6	759
9	7	757
10	8	755
11	9	751
12	9	753
13	10	751
14	11	750
15	12	749
16	12	745
17	13	747
18	14	747
19	15	744
20	15	742
21	16	739
22	17	737
23	18	734
24	18	730
25	19	728
26	20	723
27	20	723
28	21	723
29	22	727
30	23	728
31	24	727
32	24	724
33	25	721
34	26	718
35	26	715
36	27	712
37	28	711
38	28	712
39	29	711
40	30	710
41	31	708
42	31	706
43	32	705
44	33	704
45	33	701
46	34	698
47	35	697
48	35	695
49	36	693
50	37	691
51	37	690
52	38	688
53	39	686
54	39	684
55	40	683
56	41	681
57	41	680
58	42	679
59	43	677
60	43	677
61	44	677
62	45	676
63	46	675
64	46	673
65	47	672
66	48	671
67	48	670
68	49	670
69	50	669
70	51	668
71	51	667
72	52	666
73	53	666
74	53	665
75	54	663
76	55	661
77	55	660
78	56	658
79	57	657
80	57	655
81	58	655
82	58	651
83	59	649
84	60	649
85	60	648
86	61	647
87	62	645
88	62	643
89	63	642
90	64	640
91	64	638
92	65	636
93	65	635
94	66	633
95	67	632
96	67	631
97	68	630
98	69	628
99	69	626
100	70	625
101	70	623
102	71	622
103	72	620
104	72	619
105	73	617
106	73	616
107	74	615
108	75	614
109	75	612
110	76	611
111	76	609
112	77	608
113	78	607
114	78	607
115	79	607
116	80	605
117	80	604
118	81	605
119	82	604
120	83	604
121	83	602
122	84	601
123	84	600
124	85	599
125	86	597
126	86	595
127	87	594
128	88	594
129	88	593
130	89	593
131	90	592
132	90	591
133	91	592
134	92	593
135	93	592
136	93	591
137	94	589
138	95	588
139	95	588
140	96	587
141	96	585
142	97	584
143	98	583
144	98	582
145	99	581
146	100	580
147	100	579
148	101	578
149	101	577
150	102	576
151	103	575
152	103	575
153	104	574
154	105	573
155	106	576
156	107	575
157	107	574
158	108	573
159	109	572
160	109	570
161	110	569
162	110	568
163	111	567
164	112	567
165	112	566
166	113	565
167	113	564
168	114	563
169	115	562
170	115	561
171	116	560
172	117	559
173	117	558
174	118	557
175	119	557
176	119	556
177	120	555
178	120	554
179	121	554
180	122	553
181	123	553
182	123	552
183	124	551
184	124	550
185	125	549
186	126	548
187	126	547
188	127	546
189	128	545
190	128	544
191	129	543
192	129	542
193	130	541
194	131	540
195	131	539
196	132	538
197	132	537
198	133	537
199	134	536
200	135	538
201	136	538
202	136	537
203	137	536
204	138	536
205	138	535
206	139	534
207	140	533
208	140	533
